Name,Lat,Long,Id,Address,Rating
Physicians Premier Emergency Room - Bastrop,30.1075164,-97.3382591,ChIJq7pkCDuaRIYRiBWitqSWlWM,"512 TX-71, Bastrop",4.9
St. David's Emergency Center - Bastrop,30.1032103,-97.29247029999999,ChIJhb0CKeSaRIYRoKxsPMWc4qs,"3201 TX-71, Bastrop",2.1
FastMed Urgent Care,30.1127147,-97.35245479999999,ChIJVxMWjIqZRIYRNVv1FPYaJGE,"717 TX-71 #500, Bastrop",3.8
Trinity Tabernacle,30.0909824,-97.6001993,ChIJL6yojm-lRIYRDwgkEMMU5AU,"Cam Del Sol, Del Valle",0.0
